               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11496,            0.022958,            0.047687,           0.0032803,              0.4125,           0.0078485,           0.0013325,             0.13364,            0.015472,            0.053692,                 0.1,                   0,                   0
                   1,             0.12235,            0.022294,             0.04814,           0.0032871,              0.4125,            0.008056,           0.0013379,             0.13346,            0.015493,            0.053628,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.11805,            0.021144,            0.050109,           0.0032932,              0.4125,           0.0080181,           0.0012864,             0.13315,            0.015527,            0.053519,            0.098199,          0.00019921,          0.00019921
                   3,             0.11829,            0.023017,            0.047583,           0.0029212,              0.3625,           0.0037498,          0.00092639,             0.13274,            0.015567,             0.05335,            0.097298,          0.00029822,          0.00029822
                   4,             0.11848,            0.021075,            0.049116,           0.0029116,              0.3625,           0.0036639,          0.00091652,             0.13221,            0.015658,             0.05316,            0.096397,          0.00039683,          0.00039683
                   5,             0.11615,            0.024513,            0.049799,            0.002548,              0.3125,           0.0035903,          0.00094371,             0.13166,            0.015727,            0.052965,            0.095495,          0.00049505,          0.00049505
                   6,             0.11583,            0.021099,            0.048575,           0.0028899,             0.34375,           0.0037745,          0.00097141,             0.13084,            0.015806,            0.052674,            0.094593,          0.00059287,          0.00059287
                   7,             0.11483,            0.021065,            0.047673,           0.0032223,               0.375,           0.0042238,           0.0011328,             0.13002,            0.015907,            0.052439,             0.09369,           0.0006903,           0.0006903
                   8,             0.11042,            0.027868,            0.048882,           0.0035693,               0.425,           0.0063992,           0.0013296,             0.12905,            0.016003,            0.052144,            0.092787,          0.00078733,          0.00078733
                   9,             0.10878,            0.022196,             0.04761,           0.0038912,             0.45625,           0.0073783,           0.0016604,             0.12765,            0.016142,            0.051735,            0.091884,          0.00088396,          0.00088396
                  10,             0.11024,             0.03162,             0.04736,           0.0038688,             0.45625,           0.0085436,           0.0018508,             0.12621,            0.016278,            0.051378,             0.09098,           0.0009802,           0.0009802
                  11,             0.10988,            0.022481,            0.047782,           0.0042015,             0.50625,            0.011497,           0.0025189,             0.12435,            0.016486,            0.051005,            0.090076,            0.001076,            0.001076
                  12,             0.10621,            0.025257,            0.046296,            0.003814,             0.45625,           0.0092778,           0.0026047,              0.1214,             0.01675,            0.050503,            0.089171,           0.0011715,           0.0011715
                  13,             0.10545,            0.026904,            0.049071,           0.0041119,              0.4875,            0.010612,           0.0028618,             0.11871,            0.017078,            0.050016,            0.088267,           0.0012665,           0.0012665
                  14,             0.10275,            0.039692,            0.045525,           0.0037607,             0.45625,            0.011219,           0.0031359,             0.11637,            0.017342,            0.049568,            0.087361,           0.0013612,           0.0013612
                  15,             0.10431,            0.034291,            0.044474,           0.0040662,              0.4875,            0.011952,           0.0032822,             0.11404,            0.017598,            0.049166,            0.086455,           0.0014555,           0.0014555
                  16,             0.10097,            0.042945,            0.044546,           0.0043709,             0.51875,            0.012921,           0.0035047,             0.11175,            0.017821,            0.048675,            0.085549,           0.0015493,           0.0015493
                  17,             0.10132,            0.031695,            0.045189,           0.0043709,             0.51875,            0.012921,           0.0035047,             0.11175,            0.017821,            0.048675,            0.084643,           0.0016428,           0.0016428
                  18,             0.10012,            0.029289,            0.045517,           0.0043453,             0.51875,            0.014348,           0.0040244,             0.10886,            0.018177,            0.048081,            0.083736,           0.0017358,           0.0017358
                  19,            0.097832,            0.021036,            0.043784,           0.0043453,             0.51875,            0.014348,           0.0040244,             0.10886,            0.018177,            0.048081,            0.082829,           0.0018285,           0.0018285
                  20,            0.097298,            0.030653,             0.04411,            0.004274,             0.51875,            0.014668,           0.0046608,             0.10597,             0.01856,            0.047296,            0.081921,           0.0019208,           0.0019208
                  21,            0.095193,            0.049088,            0.044763,            0.004274,             0.51875,            0.014668,           0.0046608,             0.10597,             0.01856,            0.047296,            0.081013,           0.0020127,           0.0020127
                  22,            0.097995,            0.033614,             0.04511,           0.0042569,             0.51875,            0.017266,           0.0055494,             0.10312,            0.018916,            0.046626,            0.080104,           0.0021042,           0.0021042
                  23,            0.096685,            0.029816,            0.044989,           0.0042569,             0.51875,            0.017266,           0.0055494,             0.10312,            0.018916,            0.046626,            0.079195,           0.0021953,           0.0021953
                  24,            0.095778,            0.028899,            0.042667,           0.0042025,             0.51875,            0.019459,           0.0057395,             0.10055,             0.01922,            0.045629,            0.078286,            0.002286,            0.002286
                  25,            0.095571,            0.029853,            0.042921,           0.0042025,             0.51875,            0.019459,           0.0057395,             0.10055,             0.01922,            0.045629,            0.077376,           0.0023762,           0.0023762
                  26,            0.094512,            0.043951,            0.044774,           0.0048503,                 0.6,            0.021337,           0.0062351,            0.097032,            0.019644,            0.044674,            0.076466,           0.0024662,           0.0024662
                  27,            0.095081,            0.033577,            0.041939,           0.0048503,                 0.6,            0.021337,           0.0062351,            0.097032,            0.019644,            0.044674,            0.075556,           0.0025557,           0.0025557
                  28,            0.089035,            0.037655,            0.043171,           0.0048353,                 0.6,            0.023451,           0.0079614,            0.094354,            0.019991,            0.043886,            0.074645,           0.0026448,           0.0026448
                  29,            0.093651,            0.032267,            0.042546,           0.0048353,                 0.6,            0.023451,           0.0079614,            0.094354,            0.019991,            0.043886,            0.073733,           0.0027335,           0.0027335
                  30,            0.092171,            0.034853,            0.043189,            0.004794,                 0.6,            0.030566,            0.011719,            0.091127,            0.020582,            0.042985,            0.072822,           0.0028218,           0.0028218
                  31,            0.091183,            0.044345,            0.041542,            0.004794,                 0.6,            0.030566,            0.011719,            0.091127,            0.020582,            0.042985,             0.07191,           0.0029097,           0.0029097
                  32,            0.093438,            0.040425,            0.042584,           0.0044884,             0.56875,            0.038811,            0.016471,            0.089036,            0.020894,            0.042166,            0.070997,           0.0029972,           0.0029972
                  33,            0.092078,            0.034682,            0.041463,           0.0044884,             0.56875,            0.038811,            0.016471,            0.089036,            0.020894,            0.042166,            0.070084,           0.0030844,           0.0030844
                  34,            0.085886,            0.029736,            0.039339,           0.0051289,                0.65,            0.073415,            0.041906,            0.086064,            0.021488,            0.041046,            0.069171,           0.0031711,           0.0031711
                  35,            0.087547,            0.038466,            0.039949,           0.0051289,                0.65,            0.073415,            0.041906,            0.086064,            0.021488,            0.041046,            0.068257,           0.0032574,           0.0032574
                  36,            0.087699,            0.034147,            0.041206,           0.0050811,                0.65,            0.077615,            0.037406,            0.084781,            0.021784,            0.039858,            0.067343,           0.0033434,           0.0033434
                  37,            0.090197,            0.031477,            0.042289,           0.0050811,                0.65,            0.077615,            0.037406,            0.084781,            0.021784,            0.039858,            0.066429,           0.0034289,           0.0034289
                  38,            0.083705,            0.046382,            0.039833,           0.0050482,                0.65,            0.077619,             0.03921,            0.084543,            0.021799,            0.038525,            0.065514,           0.0035141,           0.0035141
                  39,            0.087662,            0.040634,            0.040919,           0.0050482,                0.65,            0.077619,             0.03921,            0.084543,            0.021799,            0.038525,            0.064599,           0.0035988,           0.0035988
                  40,            0.083094,            0.042077,            0.039601,           0.0050107,                0.65,            0.091054,            0.040368,            0.083217,            0.021821,            0.037352,            0.063683,           0.0036832,           0.0036832
                  41,            0.082237,            0.039458,            0.037609,           0.0050107,                0.65,            0.091054,            0.040368,            0.083217,            0.021821,            0.037352,            0.062767,           0.0037672,           0.0037672
                  42,            0.086526,            0.033782,            0.038762,           0.0056526,                0.75,             0.16879,            0.062409,            0.080721,            0.021909,            0.036188,            0.061851,           0.0038507,           0.0038507
                  43,            0.085646,            0.029502,            0.039103,           0.0056526,                0.75,             0.16879,            0.062409,            0.080721,            0.021909,            0.036188,            0.060934,           0.0039339,           0.0039339
                  44,            0.082338,            0.041489,            0.038067,           0.0075103,             0.71875,             0.16963,            0.061554,            0.078859,            0.021802,            0.034958,            0.060017,           0.0040167,           0.0040167
                  45,            0.078648,            0.032528,            0.037245,           0.0075103,             0.71875,             0.16963,            0.061554,            0.078859,            0.021802,            0.034958,            0.059099,           0.0040991,           0.0040991
                  46,            0.080639,             0.03502,            0.037719,             0.65214,             0.17551,             0.17437,            0.063132,              0.0764,            0.021383,            0.034139,            0.058181,            0.004181,            0.004181
                  47,            0.080241,             0.03281,            0.036274,             0.65214,             0.17551,             0.17437,            0.063132,              0.0764,            0.021383,            0.034139,            0.057263,           0.0042626,           0.0042626
                  48,             0.08272,            0.033772,            0.036415,             0.36385,               0.125,              0.1933,            0.071824,            0.074621,            0.021243,            0.033268,            0.056344,           0.0043438,           0.0043438
                  49,            0.077376,            0.045374,            0.038898,             0.36385,               0.125,              0.1933,            0.071824,            0.074621,            0.021243,            0.033268,            0.055425,           0.0044246,           0.0044246
                  50,            0.080793,            0.046859,            0.037204,             0.35296,             0.23496,             0.15204,            0.055041,            0.074793,             0.02095,            0.032514,            0.054505,            0.004505,            0.004505
                  51,            0.075459,            0.047139,            0.035636,             0.35296,             0.23496,             0.15204,            0.055041,            0.074793,             0.02095,            0.032514,            0.053585,            0.004585,            0.004585
                  52,            0.075985,            0.030831,            0.034952,             0.35296,             0.23496,             0.15204,            0.055041,            0.074793,             0.02095,            0.032514,            0.052665,           0.0046646,           0.0046646
                  53,            0.079685,             0.02976,            0.036111,             0.37979,             0.39434,             0.23036,            0.097474,            0.074685,            0.020732,            0.031746,            0.051744,           0.0047438,           0.0047438
                  54,            0.074798,             0.04329,            0.035118,             0.37979,             0.39434,             0.23036,            0.097474,            0.074685,            0.020732,            0.031746,            0.050823,           0.0048226,           0.0048226
                  55,            0.077239,            0.026094,            0.037792,             0.37979,             0.39434,             0.23036,            0.097474,            0.074685,            0.020732,            0.031746,            0.049901,           0.0049011,           0.0049011
                  56,            0.072651,            0.044804,            0.034205,             0.44349,             0.34285,             0.23935,            0.095861,            0.070859,            0.020368,            0.031201,            0.048979,           0.0049791,           0.0049791
                  57,            0.074121,            0.024459,            0.033601,             0.44349,             0.34285,             0.23935,            0.095861,            0.070859,            0.020368,            0.031201,            0.048057,           0.0050567,           0.0050567
                  58,            0.076393,            0.036223,            0.033165,             0.44349,             0.34285,             0.23935,            0.095861,            0.070859,            0.020368,            0.031201,            0.047134,           0.0051339,           0.0051339
                  59,            0.077563,            0.035877,            0.034724,             0.67552,                0.25,             0.24627,             0.10109,            0.070628,            0.020256,             0.03056,            0.046211,           0.0052108,           0.0052108
                  60,            0.073115,            0.035595,            0.033742,             0.67552,                0.25,             0.24627,             0.10109,            0.070628,            0.020256,             0.03056,            0.045287,           0.0052872,           0.0052872
                  61,            0.075684,            0.034811,            0.034101,             0.67552,                0.25,             0.24627,             0.10109,            0.070628,            0.020256,             0.03056,            0.044363,           0.0053632,           0.0053632
                  62,            0.069136,            0.036887,            0.032975,             0.69861,             0.43344,             0.29901,            0.088316,            0.068894,            0.020134,            0.029617,            0.043439,           0.0054389,           0.0054389
                  63,            0.075855,            0.036449,            0.034055,             0.69861,             0.43344,             0.29901,            0.088316,            0.068894,            0.020134,            0.029617,            0.042514,           0.0055141,           0.0055141
                  64,            0.073548,            0.028959,            0.032574,             0.69861,             0.43344,             0.29901,            0.088316,            0.068894,            0.020134,            0.029617,            0.041589,            0.005589,            0.005589
                  65,            0.071879,            0.031709,            0.034048,             0.85943,             0.28526,             0.38676,             0.14803,            0.068012,            0.019875,            0.028957,            0.040663,           0.0056635,           0.0056635
                  66,            0.069478,            0.031729,            0.032399,             0.85943,             0.28526,             0.38676,             0.14803,            0.068012,            0.019875,            0.028957,            0.039738,           0.0057375,           0.0057375
                  67,             0.06944,             0.03441,            0.031702,             0.85943,             0.28526,             0.38676,             0.14803,            0.068012,            0.019875,            0.028957,            0.038811,           0.0058112,           0.0058112
